DateTime,High,Open,Close,Low,Volume,MA7,RSI14
29/04/2015 03:00:00,206.49,206.33,206.19,206.19,0.87,206.01,17.83
29/04/2015 04:00:00,206.14,205.25,205.17,205.17,3.16,205.45857142857142857142857143,17.69
29/04/2015 05:00:00,203.84,203.68,203.84,203.68,5.26,205.36714285714285714285714286,17.51
29/04/2015 06:00:00,204.07,203.72,203.54,203.24,3.27,205.20714285714285714285714286,17.47
29/04/2015 07:00:00,205.53,203.54,203.74,203.27,17.77,204.89142857142857142857142857,17.61
29/04/2015 08:00:00,206.36,203.7,202.94,202.27,16.93,204.47285714285714285714285714,17.48
29/04/2015 09:00:00,204.18,203.12,203.1,202.72,15.72,204.07428571428571428571428571,17.62
29/04/2015 10:00:00,204.36,202.95,204.36,198.33,39.3147,203.81285714285714285714285714,18.76
29/04/2015 11:00:00,204.84,203.8,203.88,202.97,12.65,203.62857142857142857142857143,18.65
29/04/2015 12:00:00,204.46,203.69,204,201.59,10.88,203.65142857142857142857142857,18.78
29/04/2015 13:00:00,204,203.99,203.09,202.93,7.33,203.58714285714285714285714286,18.55
29/04/2015 14:00:00,203.45,202.8,202.53,202.18,8.1,203.41428571428571428571428571,18.40
29/04/2015 15:00:00,202.36,201.55,202.36,201.55,6.32,203.33142857142857142857142857,18.35
29/04/2015 16:00:00,202.59,201.96,202.58,201.75,6.66,203.25714285714285714285714286,18.65
29/04/2015 17:00:00,203.08,202.58,203.08,202.58,2.78,203.07428571428571428571428571,19.37
29/04/2015 18:00:00,204.62,203.34,203.18,203.16,27.38,202.97428571428571428571428571,19.52
29/04/2015 19:00:00,204.58,204,204.58,203.92,12.03,203.05714285714285714285714286,21.77
29/04/2015 20:00:00,204.4,203.52,204.29,203.52,18.98,203.22857142857142857142857143,21.63
29/04/2015 21:00:00,204.84,204.19,204.13,203.3,43.08,203.45714285714285714285714286,21.55
29/04/2015 22:00:00,203.58,203.52,203.58,203.51,2.19,203.63142857142857142857142857,21.26
29/04/2015 23:00:00,203.65,203.65,203.65,203.65,0.03,203.78428571428571428571428571,21.41
30/04/2015 00:00:00,203.74,203.63,203.74,203.63,5.06,203.87857142857142857142857143,21.61
30/04/2015 01:00:00,203.54,203.5,203.54,203.5,0.07,203.93,21.48
30/04/2015 02:00:00,203.3,203.3,203.02,202.48,1.32,203.70714285714285714285714286,21.12
30/04/2015 03:00:00,203.27,203.12,203.27,203.12,8.38,203.56142857142857142857142857,21.79
30/04/2015 04:00:00,205.15,203.33,205.15,203.33,5,203.70714285714285714285714286,26.83
30/04/2015 05:00:00,204.64,204.13,204.64,204.13,5.15,203.85857142857142857142857143,26.33
30/04/2015 06:00:00,205.67,204.22,203.38,203.15,21.64,203.82,25.10
30/04/2015 07:00:00,204.92,203.4,203.59,202.86,38.93,203.79857142857142857142857143,25.72
30/04/2015 08:00:00,209.57,205.55,208.2,205.55,28.12,204.46428571428571428571428571,37.95
30/04/2015 09:00:00,211.26,207.66,208.65,207.35,25.09,205.26857142857142857142857143,39.01
30/04/2015 10:00:00,209.37,209.16,209.09,208.79,19.3,206.10,40.08
30/04/2015 11:00:00,209.79,208.88,209.17,208.88,9.83,206.67428571428571428571428571,40.29
30/04/2015 12:00:00,208.88,208.88,208.88,207.47,12.52,207.28,39.76
30/04/2015 13:00:00,209.27,208.53,208.05,208.05,10.75,207.94714285714285714285714286,38.20
30/04/2015 14:00:00,210.86,209.06,209.61,208.6,1.93,208.80714285714285714285714286,42.74
30/04/2015 15:00:00,209.88,208.83,209.43,208.55,22.47,208.98285714285714285714285714,42.35
30/04/2015 16:00:00,210.34,209.69,210.34,208.96,9.97,209.22428571428571428571428571,45.06
30/04/2015 17:00:00,209.5,209.2,209.5,208.53,7.2,209.28285714285714285714285714,43.05
30/04/2015 18:00:00,211.19,209.49,210.77,209.49,4.75,209.51142857142857142857142857,46.90
30/04/2015 19:00:00,211.32,210.34,211.24,210.19,5.97,209.84857142857142857142857143,48.30
30/04/2015 20:00:00,212.91,211.27,210.05,210.05,2.94,210.13428571428571428571428571,45.07
30/04/2015 21:00:00,212.45,211.4,210.54,210.54,5.53,210.26714285714285714285714286,46.65
